corpus,target,max_identity
pdbbind2020,P42345,1.0
pdbbind2020,P00918,1.0
pdbbind2020,P00915,1.0
pdbbind2020,Q72547,0.973
pdbbind2020,P24941,0.977
pdbbind2020,P09874,1.0
pdbbind2020,P01116,0.994
pdbbind2020,P03372,0.996
pdbbind2020,Q03181,1.0
pdbbind2020,P37231,1.0
pdbbind2020,O43570,1.0
pdbbind2020,P45983,1.0
pdbbind2020,P53779,1.0
pdbbind2020,P49841,1.0
pdbbind2020,P53350,1.0
pdbbind2020,P22303,1.0
pdbbind2020,O14757,1.0
pdbbind2020,P34913,1.0
pdbbind2020,P00533,0.997
pdbbind2020,P17931,1.0
pdbbind2020,Q00987,0.988
pdbbind2020,P03951,1.0
pdbbind2020,P07333,1.0
pdbbind2020,P28907,0.98
pdbbind2020,P23458,1.0
pdbbind2020,O60885,1.0
pdbbind2020,P06276,1.0
pdbbind2020,Q92630,1.0
pdbbind2020,Q06187,1.0
pdbbind2020,Q13547,0.935
pdbbind2020,Q92769,1.0
pdbbind2020,P52333,1.0
pdbbind2020,P27338,1.0
pdbbind2020,P43166,1.0
pdbbind2020,Q06124,0.996
pdbbind2020,P51449,0.992
pdbbind2020,Q16769,1.0
pdbbind2020,O75116,0.849
pdbbind2020,O60674,1.0
pdbbind2020,C7C422,0.996
pdbbind2020,Q13627,1.0
pdbbind2020,Q9Y463,0.835
pdbbind2020,Q13546,1.0
pdbbind2020,P41143,1.0
pdbbind2020,P42336,0.999
pdbbind2020,P04629,1.0
pdbbind2020,P36544,0.652
pdbbind2020,Q16790,0.996
pdbbind2020,P35372,0.976
pdbbind2020,P42866,1.0
pdbbind2020,P29597,1.0
pdbbind2020,P49759,1.0
pdbbind2020,P29274,0.978
pdbbind2020,Q9NXA8,1.0
pdbbind2020,Q99538,0.992
pdbbind2020,O75874,0.995
pdbbind2020,Q92918,1.0
pdbbind2020,Q03111,1.0
sair,P49841,0.997
sair,P42336,0.999
sair,P07333,0.958
sair,C7C422,0.991
sair,Q13547,1.0
sair,Q92769,1.0
sair,O14757,0.963
sair,Q02127,0.941
sair,P49759,0.933
sair,O43570,0.996
sair,O60341,1.0
sair,O60674,0.948
sair,O75116,0.997
sair,O75874,0.998
sair,O94925,0.899
sair,P00533,0.985
sair,P00915,1.0
sair,P00918,1.0
sair,P01116,0.941
sair,P03951,0.996
sair,Q72547,0.828
sair,P04629,0.994
sair,P06276,0.992
sair,P08183,1.0
sair,P08684,0.988
sair,P08908,0.938
sair,P09874,0.992
sair,P42330,0.997
sair,P27338,1.0
sair,P23458,0.997
sair,P24941,0.977
sair,P42345,1.0
sair,P28907,0.97
sair,P29274,0.748
sair,P29597,0.936
sair,P31153,0.997
sair,P41143,0.997
sair,P41145,1.0
sair,P35372,0.968
sair,P42866,0.983
sair,P34913,0.998
sair,P34972,1.0
sair,Q03181,0.954
sair,P35462,0.998
sair,Q06187,1.0
sair,P36544,0.888
sair,P43490,1.0
sair,P45983,1.0
sair,P53779,1.0
sair,P51449,0.992
sair,P52333,0.983
sair,P53350,0.991
sair,Q06124,0.994
sair,Q16769,0.962
sair,Q96P20,0.842
sair,Q96SW2,1.0
sair,Q99538,0.965
sair,Q9NXA8,0.974
