Model,Dataset,Target,Target_class,N,RMSE,MSE,Pearson,Spearman,Kendall,CI,Rm2
bapred,af3_chembl35_full,P07333,Kinase,81,1.315,1.73,-0.088,-0.104,-0.067,0.466,0.002
bapred,af3_chembl35_full,P08183,Transporter,83,1.502,2.256,-0.088,-0.034,-0.022,0.489,-0.001
bapred,af3_chembl35_full,P08684,Cytochrome p450,56,1.938,3.755,-0.561,-0.582,-0.403,0.298,-0.147
bapred,af3_chembl35_full,P08908,Family A G protein-coupled receptor,46,1.471,2.163,-0.438,-0.448,-0.307,0.346,-0.016
bapred,af3_chembl35_full,P09874,Transferase,127,1.518,2.303,-0.254,-0.33,-0.204,0.398,0.006
bapred,af3_chembl35_full,P0DTD1,Transferase,726,1.104,1.218,0.312,0.229,0.154,0.577,0.059
bapred,af3_chembl35_full,P10275,Transcription factor,36,1.528,2.333,-0.11,-0.112,-0.067,0.466,-0.007
bapred,af3_chembl35_full,P14416,Family A G protein-coupled receptor,134,1.416,2.005,-0.285,-0.252,-0.179,0.411,-0.001
bapred,af3_chembl35_full,P17931,Unclassified protein,38,1.135,1.287,-0.1,-0.185,-0.145,0.427,-0.011
bapred,af3_chembl35_full,P21728,Family A G protein-coupled receptor,37,1.197,1.432,0.078,0.057,0.044,0.522,0.002
bapred,af3_chembl35_full,P22303,Hydrolase,109,2.243,5.033,0.478,0.477,0.34,0.67,0.169
bapred,af3_chembl35_full,P23458,Kinase,99,2.162,4.673,0.294,0.283,0.19,0.595,0.073
bapred,af3_chembl35_full,P24941,Kinase,50,1.005,1.01,0.443,0.422,0.275,0.637,0.167
bapred,af3_chembl35_full,P27338,Oxidoreductase,124,1.38,1.904,-0.086,-0.106,-0.067,0.467,0.002
bapred,af3_chembl35_full,P28223,Family A G protein-coupled receptor,54,1.061,1.126,0.326,0.185,0.121,0.561,0.073
bapred,af3_chembl35_full,P28335,Family A G protein-coupled receptor,22,0.835,0.698,0.428,0.434,0.326,0.664,0.119
bapred,af3_chembl35_full,P28907,Hydrolase|Transferase,37,2.83,8.008,-0.369,-0.252,-0.159,0.42,-0.055
bapred,af3_chembl35_full,P29274,Family A G protein-coupled receptor,46,2.359,5.565,-0.168,-0.081,-0.058,0.471,0.014
bapred,af3_chembl35_full,P29597,Kinase,51,1.109,1.231,-0.01,-0.082,-0.055,0.472,0.0
bapred,af3_chembl35_full,P31153,Transferase,50,0.758,0.574,0.44,0.482,0.319,0.66,0.041
bapred,af3_chembl35_full,P34913,Hydrolase,70,1.652,2.728,0.305,0.406,0.265,0.633,0.062
bapred,af3_chembl35_full,P34972,Family A G protein-coupled receptor,30,1.252,1.567,-0.179,-0.229,-0.099,0.451,0.007
bapred,af3_chembl35_full,P35372,Family A G protein-coupled receptor,35,1.263,1.595,0.291,0.365,0.219,0.609,0.02
bapred,af3_chembl35_full,P35408,Family A G protein-coupled receptor,54,1.61,2.591,-0.02,-0.052,-0.034,0.483,0.0
bapred,af3_chembl35_full,P35462,Family A G protein-coupled receptor,79,1.424,2.027,-0.183,-0.247,-0.165,0.417,0.009
bapred,af3_chembl35_full,P36544,Ion channel,33,1.106,1.224,-0.084,0.133,0.121,0.561,-0.002
bapred,af3_chembl35_full,P37231,Transcription factor,16,1.145,1.311,0.279,0.273,0.211,0.606,0.045
bapred,af3_chembl35_full,P41143,Family A G protein-coupled receptor,41,1.06,1.124,0.545,0.415,0.289,0.645,0.22
bapred,af3_chembl35_full,P41145,Family A G protein-coupled receptor,34,1.527,2.33,0.008,0.118,0.087,0.544,0.0
bapred,af3_chembl35_full,P42330,Oxidoreductase,99,0.981,0.962,0.106,0.07,0.047,0.524,0.0
bapred,af3_chembl35_full,P42336,Transferase,111,1.274,1.623,0.183,0.196,0.132,0.566,0.023
bapred,af3_chembl35_full,P42345,Kinase,55,1.123,1.262,0.099,0.053,0.047,0.524,0.004
bapred,af3_chembl35_full,P42866,Family A G protein-coupled receptor,32,0.824,0.679,0.089,0.188,0.105,0.553,-0.006
bapred,af3_chembl35_full,P43166,Lyase,119,1.09,1.189,0.293,0.271,0.181,0.591,0.012
bapred,af3_chembl35_full,P43490,Unclassified protein,38,1.545,2.386,0.208,0.282,0.184,0.592,0.024
bapred,af3_chembl35_full,P45983,Kinase,68,1.549,2.399,0.636,0.542,0.398,0.703,0.187
bapred,af3_chembl35_full,P49759,Kinase,97,1.02,1.041,-0.162,-0.214,-0.143,0.428,0.004
bapred,af3_chembl35_full,P49841,Kinase,113,1.636,2.676,0.509,0.352,0.244,0.622,0.216
bapred,af3_chembl35_full,P50406,Family A G protein-coupled receptor,77,1.011,1.022,0.092,0.153,0.1,0.55,0.002
bapred,af3_chembl35_full,P51449,Transcription factor,59,0.881,0.776,0.167,0.085,0.053,0.526,0.012
bapred,af3_chembl35_full,P52333,Kinase,70,1.886,3.557,0.058,-0.18,-0.114,0.443,-0.0
bapred,af3_chembl35_full,P53350,Kinase,96,1.95,3.803,-0.428,-0.13,-0.083,0.458,0.025
bapred,af3_chembl35_full,P53779,Kinase,159,1.01,1.021,0.641,0.641,0.466,0.733,0.213
bapred,af3_chembl35_full,Q00987,Other nuclear protein,94,1.041,1.084,0.745,0.699,0.504,0.752,0.509
bapred,af3_chembl35_full,Q02127,Oxidoreductase,31,0.825,0.681,0.471,0.205,0.153,0.577,0.12
bapred,af3_chembl35_full,Q03111,Epigenetic regulator,48,0.92,0.846,0.433,0.395,0.266,0.633,0.126
bapred,af3_chembl35_full,Q03181,Transcription factor,19,0.945,0.893,0.248,0.2,0.146,0.573,0.039
bapred,af3_chembl35_full,Q06124,Phosphatase,42,0.842,0.709,0.583,0.522,0.371,0.686,0.182
bapred,af3_chembl35_full,Q06187,Kinase,69,1.486,2.209,0.516,0.536,0.399,0.7,0.241
bapred,af3_chembl35_full,Q12809,Ion channel,119,1.68,2.822,-0.04,-0.119,-0.084,0.458,-0.0
bapred,af3_chembl35_full,Q13546,Kinase,52,1.361,1.853,0.543,0.48,0.315,0.658,-0.207
bapred,af3_chembl35_full,Q13547,Epigenetic regulator,358,1.12,1.254,0.058,0.08,0.052,0.526,0.001
bapred,af3_chembl35_full,Q13627,Kinase,80,1.568,2.459,0.001,0.059,0.025,0.512,0.0
bapred,af3_chembl35_full,Q15910,Epigenetic regulator,44,1.337,1.786,0.003,0.113,0.064,0.532,-0.0
bapred,af3_chembl35_full,Q16769,Transferase,52,1.368,1.873,-0.009,0.029,0.024,0.512,0.0
bapred,af3_chembl35_full,Q16790,Lyase,209,0.852,0.726,0.298,0.28,0.184,0.592,0.02
bapred,af3_chembl35_full,Q72547,Hydrolase,164,1.118,1.251,0.38,0.223,0.155,0.578,0.047
bapred,af3_chembl35_full,Q92630,Kinase,38,1.547,2.393,-0.342,-0.265,-0.171,0.415,0.033
bapred,af3_chembl35_full,Q92769,Epigenetic regulator,41,0.998,0.996,0.019,-0.004,-0.031,0.485,0.0
bapred,af3_chembl35_full,Q92918,Kinase,134,1.064,1.131,0.003,-0.014,-0.008,0.496,0.0
bapred,af3_chembl35_full,Q96P20,Unclassified protein,73,1.513,2.29,0.006,-0.052,-0.024,0.488,0.0
bapred,af3_chembl35_full,Q96SW2,Unclassified protein,56,1.161,1.348,0.587,0.43,0.275,0.638,0.271
bapred,af3_chembl35_full,Q99538,Protease,40,2.01,4.041,-0.121,-0.013,0.01,0.505,-0.008
bapred,af3_chembl35_full,Q9NXA8,Epigenetic regulator,95,1.076,1.158,0.159,0.185,0.132,0.566,0.001
bapred,af3_chembl35_full,Q9Y463,Kinase,42,1.307,1.709,-0.392,-0.269,-0.184,0.408,0.023
boltz2,boltz2_chembl35_full,C7C422,Hydrolase,49,1.338,1.791,0.255,0.299,0.194,0.597,0.036
boltz2,boltz2_chembl35_full,O00444,Kinase,147,1.621,2.628,0.51,0.534,0.358,0.679,0.188
boltz2,boltz2_chembl35_full,O14757,Kinase,59,1.952,3.812,0.426,0.462,0.297,0.649,0.138
boltz2,boltz2_chembl35_full,O43570,Lyase,196,0.855,0.731,0.056,0.029,0.018,0.509,0.001
boltz2,boltz2_chembl35_full,O60341,Epigenetic regulator,122,1.086,1.18,0.427,0.424,0.271,0.636,0.088
boltz2,boltz2_chembl35_full,O60674,Kinase,77,0.934,0.872,0.206,0.127,0.082,0.541,0.025
boltz2,boltz2_chembl35_full,O60885,Epigenetic regulator,234,1.813,3.286,0.595,0.572,0.403,0.702,0.34
boltz2,boltz2_chembl35_full,O75116,Kinase,60,0.954,0.909,0.384,0.301,0.201,0.601,0.116
boltz2,boltz2_chembl35_full,O75874,Oxidoreductase,39,1.432,2.051,0.307,0.332,0.231,0.616,0.06
boltz2,boltz2_chembl35_full,O94925,Hydrolase,84,0.679,0.462,0.14,0.241,0.154,0.577,0.005
boltz2,boltz2_chembl35_full,O96028,Epigenetic regulator,34,0.651,0.424,0.267,0.172,0.08,0.54,0.024
boltz2,boltz2_chembl35_full,P00533,Kinase,139,1.048,1.098,0.29,0.232,0.16,0.58,0.023
boltz2,boltz2_chembl35_full,P00915,Lyase,247,1.122,1.26,0.455,0.445,0.304,0.652,0.16
boltz2,boltz2_chembl35_full,P00918,Lyase,263,1.203,1.447,0.287,0.287,0.203,0.602,0.035
boltz2,boltz2_chembl35_full,P01116,Hydrolase,52,2.769,7.667,0.043,0.21,0.162,0.581,-0.0
boltz2,boltz2_chembl35_full,P03372,Transcription factor,79,1.93,3.726,-0.609,-0.639,-0.48,0.259,-0.261
boltz2,boltz2_chembl35_full,P03951,Protease,39,1.249,1.561,0.736,0.725,0.552,0.777,0.479
boltz2,boltz2_chembl35_full,P04629,Kinase,113,1.83,3.35,0.162,0.207,0.144,0.572,0.01
boltz2,boltz2_chembl35_full,P06276,Hydrolase,126,1.104,1.219,0.222,0.224,0.156,0.578,0.025
boltz2,boltz2_chembl35_full,P07333,Kinase,81,1.329,1.767,-0.066,0.137,0.105,0.553,0.001
boltz2,boltz2_chembl35_full,P08183,Transporter,83,1.183,1.4,0.153,0.173,0.116,0.558,0.009
boltz2,boltz2_chembl35_full,P08684,Cytochrome p450,56,1.815,3.293,-0.582,-0.579,-0.398,0.301,-0.188
boltz2,boltz2_chembl35_full,P08908,Family A G protein-coupled receptor,46,1.458,2.126,0.799,0.764,0.541,0.771,0.503
boltz2,boltz2_chembl35_full,P09874,Transferase,127,1.228,1.507,0.645,0.693,0.516,0.758,0.237
boltz2,boltz2_chembl35_full,P0DTD1,Transferase,726,1.305,1.704,0.278,0.283,0.195,0.598,0.048
boltz2,boltz2_chembl35_full,P10275,Transcription factor,36,0.945,0.893,-0.02,-0.057,-0.049,0.475,-0.0
boltz2,boltz2_chembl35_full,P14416,Family A G protein-coupled receptor,134,1.341,1.798,0.374,0.369,0.246,0.623,0.12
boltz2,boltz2_chembl35_full,P17931,Unclassified protein,38,2.03,4.122,-0.294,-0.315,-0.205,0.397,-0.036
boltz2,boltz2_chembl35_full,P21728,Family A G protein-coupled receptor,37,1.149,1.321,-0.14,-0.155,-0.086,0.457,0.009
boltz2,boltz2_chembl35_full,P22303,Hydrolase,109,1.437,2.064,0.462,0.482,0.34,0.67,0.191
boltz2,boltz2_chembl35_full,P23458,Kinase,99,1.491,2.223,0.66,0.684,0.48,0.74,0.399
boltz2,boltz2_chembl35_full,P24941,Kinase,50,0.744,0.554,0.72,0.745,0.572,0.786,0.487
boltz2,boltz2_chembl35_full,P27338,Oxidoreductase,124,1.297,1.683,0.182,0.169,0.116,0.558,0.016
boltz2,boltz2_chembl35_full,P28223,Family A G protein-coupled receptor,54,1.523,2.321,0.531,0.425,0.304,0.652,0.237
boltz2,boltz2_chembl35_full,P28335,Family A G protein-coupled receptor,22,1.815,3.295,0.365,0.331,0.248,0.624,0.002
boltz2,boltz2_chembl35_full,P28907,Hydrolase|Transferase,37,2.602,6.77,-0.399,-0.419,-0.265,0.367,-0.06
boltz2,boltz2_chembl35_full,P29274,Family A G protein-coupled receptor,46,1.584,2.511,0.287,0.06,0.043,0.521,0.055
boltz2,boltz2_chembl35_full,P29597,Kinase,51,1.013,1.026,0.518,0.493,0.351,0.676,0.239
boltz2,boltz2_chembl35_full,P31153,Transferase,50,1.09,1.188,0.445,0.441,0.304,0.653,-0.032
boltz2,boltz2_chembl35_full,P34913,Hydrolase,70,1.041,1.084,0.495,0.172,0.115,0.557,0.235
boltz2,boltz2_chembl35_full,P34972,Family A G protein-coupled receptor,30,1.638,2.683,0.056,0.034,0.007,0.503,0.001
boltz2,boltz2_chembl35_full,P35372,Family A G protein-coupled receptor,35,1.107,1.226,0.357,0.245,0.155,0.577,0.075
boltz2,boltz2_chembl35_full,P35408,Family A G protein-coupled receptor,54,1.065,1.135,0.654,0.609,0.438,0.724,0.391
boltz2,boltz2_chembl35_full,P35462,Family A G protein-coupled receptor,79,1.398,1.953,0.718,0.602,0.448,0.725,0.364
boltz2,boltz2_chembl35_full,P36544,Ion channel,33,1.241,1.54,0.149,0.093,0.049,0.525,-0.009
boltz2,boltz2_chembl35_full,P37231,Transcription factor,16,1.706,2.911,0.503,0.461,0.336,0.669,0.049
boltz2,boltz2_chembl35_full,P41143,Family A G protein-coupled receptor,41,1.361,1.851,0.661,0.459,0.306,0.654,0.222
boltz2,boltz2_chembl35_full,P41145,Family A G protein-coupled receptor,34,1.19,1.416,0.538,0.526,0.38,0.69,0.258
boltz2,boltz2_chembl35_full,P42330,Oxidoreductase,99,0.842,0.71,0.109,0.052,0.045,0.523,0.001
boltz2,boltz2_chembl35_full,P42336,Transferase,111,1.1,1.21,0.489,0.48,0.329,0.665,0.192
boltz2,boltz2_chembl35_full,P42345,Kinase,55,1.354,1.833,0.239,0.264,0.183,0.592,0.024
boltz2,boltz2_chembl35_full,P42866,Family A G protein-coupled receptor,32,0.919,0.845,0.376,0.446,0.307,0.654,0.068
boltz2,boltz2_chembl35_full,P43166,Lyase,119,0.734,0.538,0.55,0.518,0.372,0.687,0.112
boltz2,boltz2_chembl35_full,P43490,Unclassified protein,38,1.902,3.616,0.368,0.215,0.15,0.575,0.131
boltz2,boltz2_chembl35_full,P45983,Kinase,68,1.484,2.202,0.705,0.657,0.488,0.749,0.476
boltz2,boltz2_chembl35_full,P49759,Kinase,97,0.689,0.475,0.33,0.302,0.206,0.604,0.066
boltz2,boltz2_chembl35_full,P49841,Kinase,113,1.673,2.799,0.017,0.038,0.028,0.514,0.0
boltz2,boltz2_chembl35_full,P50406,Family A G protein-coupled receptor,77,0.906,0.822,0.207,0.291,0.186,0.593,0.023
boltz2,boltz2_chembl35_full,P51449,Transcription factor,59,0.907,0.823,-0.103,0.104,0.074,0.537,0.002
boltz2,boltz2_chembl35_full,P52333,Kinase,70,0.772,0.597,0.714,0.655,0.446,0.724,0.472
boltz2,boltz2_chembl35_full,P53350,Kinase,96,2.164,4.684,-0.635,-0.187,-0.111,0.444,-0.064
boltz2,boltz2_chembl35_full,P53779,Kinase,159,1.132,1.282,0.615,0.576,0.39,0.696,0.251
boltz2,boltz2_chembl35_full,Q00987,Other nuclear protein,94,1.254,1.574,0.801,0.815,0.616,0.809,0.498
boltz2,boltz2_chembl35_full,Q02127,Oxidoreductase,31,1.341,1.797,0.517,0.389,0.261,0.631,0.162
boltz2,boltz2_chembl35_full,Q03111,Epigenetic regulator,48,0.959,0.919,0.451,0.298,0.219,0.61,0.177
boltz2,boltz2_chembl35_full,Q03181,Transcription factor,19,0.648,0.421,0.216,0.202,0.17,0.585,0.028
boltz2,boltz2_chembl35_full,Q06124,Phosphatase,42,0.787,0.619,0.436,0.498,0.331,0.666,0.155
boltz2,boltz2_chembl35_full,Q06187,Kinase,69,1.317,1.734,0.67,0.658,0.47,0.735,0.424
boltz2,boltz2_chembl35_full,Q12809,Ion channel,119,1.776,3.154,0.216,0.225,0.152,0.576,0.017
boltz2,boltz2_chembl35_full,Q13546,Kinase,52,1.32,1.742,0.499,0.448,0.308,0.654,-0.212
boltz2,boltz2_chembl35_full,Q13547,Epigenetic regulator,358,1.145,1.312,0.566,0.573,0.401,0.701,0.3
boltz2,boltz2_chembl35_full,Q13627,Kinase,80,1.244,1.548,0.396,0.362,0.26,0.63,0.128
boltz2,boltz2_chembl35_full,Q15910,Epigenetic regulator,44,0.948,0.9,0.325,0.331,0.248,0.624,0.033
boltz2,boltz2_chembl35_full,Q16769,Transferase,52,2.904,8.432,0.188,0.142,0.104,0.552,0.027
boltz2,boltz2_chembl35_full,Q16790,Lyase,209,0.831,0.69,0.27,0.205,0.137,0.569,0.033
boltz2,boltz2_chembl35_full,Q72547,Hydrolase,164,0.969,0.938,0.287,0.228,0.16,0.58,0.037
boltz2,boltz2_chembl35_full,Q92630,Kinase,38,1.367,1.869,0.561,0.612,0.45,0.725,0.268
boltz2,boltz2_chembl35_full,Q92769,Epigenetic regulator,41,1.441,2.077,0.398,0.391,0.282,0.641,0.118
boltz2,boltz2_chembl35_full,Q92918,Kinase,134,1.716,2.944,0.407,0.356,0.251,0.626,0.041
boltz2,boltz2_chembl35_full,Q96P20,Unclassified protein,73,1.648,2.714,0.127,0.027,0.019,0.51,0.007
boltz2,boltz2_chembl35_full,Q96SW2,Unclassified protein,56,1.284,1.649,0.726,0.568,0.391,0.696,0.317
boltz2,boltz2_chembl35_full,Q99538,Protease,40,1.784,3.183,0.305,0.315,0.239,0.62,0.027
boltz2,boltz2_chembl35_full,Q9NXA8,Epigenetic regulator,95,1.143,1.305,0.161,0.155,0.093,0.547,0.002
boltz2,boltz2_chembl35_full,Q9Y463,Kinase,42,1.014,1.028,0.458,0.361,0.272,0.636,0.159
deepdta,sequence_chembl35_full,C7C422,Hydrolase,49,1.228,1.507,0.281,0.41,0.342,0.672,0.032
deepdta,sequence_chembl35_full,O00444,Kinase,147,1.691,2.859,0.2,0.195,0.131,0.566,0.021
deepdta,sequence_chembl35_full,O14757,Kinase,59,1.1,1.21,0.032,0.068,0.057,0.529,-0.0
deepdta,sequence_chembl35_full,O43570,Lyase,196,0.919,0.845,0.233,0.171,0.117,0.559,0.012
deepdta,sequence_chembl35_full,O60341,Epigenetic regulator,122,1.762,3.106,0.044,0.069,0.039,0.52,0.001
deepdta,sequence_chembl35_full,O60674,Kinase,77,1.852,3.431,-0.024,0.109,0.071,0.536,0.0
deepdta,sequence_chembl35_full,O60885,Epigenetic regulator,234,1.22,1.487,0.456,0.503,0.346,0.673,0.16
deepdta,sequence_chembl35_full,O75116,Kinase,60,1.421,2.02,0.288,0.016,0.001,0.5,0.064
deepdta,sequence_chembl35_full,O75874,Oxidoreductase,39,1.485,2.205,0.279,0.232,0.179,0.59,0.073
deepdta,sequence_chembl35_full,O94925,Hydrolase,84,2.165,4.689,0.595,0.625,0.439,0.72,0.221
deepdta,sequence_chembl35_full,O96028,Epigenetic regulator,34,0.755,0.57,-0.024,0.042,0.041,0.521,0.0
deepdta,sequence_chembl35_full,P00533,Kinase,139,1.619,2.62,0.011,0.068,0.039,0.52,0.0
deepdta,sequence_chembl35_full,P00915,Lyase,247,1.109,1.229,0.12,0.131,0.085,0.542,0.004
deepdta,sequence_chembl35_full,P00918,Lyase,263,1.266,1.603,0.142,0.127,0.082,0.541,0.007
deepdta,sequence_chembl35_full,P01116,Hydrolase,52,1.063,1.131,0.116,0.099,0.075,0.537,0.008
deepdta,sequence_chembl35_full,P03372,Transcription factor,79,1.775,3.152,-0.643,-0.592,-0.417,0.29,-0.251
deepdta,sequence_chembl35_full,P03951,Protease,39,1.053,1.108,0.452,0.392,0.284,0.643,0.182
deepdta,sequence_chembl35_full,P04629,Kinase,113,1.289,1.663,0.022,-0.008,-0.001,0.5,0.0
deepdta,sequence_chembl35_full,P06276,Hydrolase,126,1.305,1.704,0.029,0.046,0.033,0.516,0.0
deepdta,sequence_chembl35_full,P07333,Kinase,81,2.18,4.754,-0.184,-0.125,-0.077,0.461,-0.005
deepdta,sequence_chembl35_full,P08183,Transporter,83,1.925,3.707,-0.029,-0.008,-0.012,0.494,0.0
deepdta,sequence_chembl35_full,P08684,Cytochrome p450,56,2.304,5.307,-0.687,-0.646,-0.434,0.283,-0.284
deepdta,sequence_chembl35_full,P08908,Family A G protein-coupled receptor,46,0.875,0.765,0.559,0.528,0.324,0.662,0.276
deepdta,sequence_chembl35_full,P09874,Transferase,127,2.017,4.068,0.016,-0.145,-0.092,0.454,0.0
deepdta,sequence_chembl35_full,P0DTD1,Transferase,726,1.218,1.484,0.246,0.213,0.146,0.573,0.036
deepdta,sequence_chembl35_full,P10275,Transcription factor,36,1.33,1.768,-0.058,-0.085,-0.065,0.467,-0.0
deepdta,sequence_chembl35_full,P14416,Family A G protein-coupled receptor,134,1.114,1.24,-0.005,0.001,0.004,0.502,0.0
deepdta,sequence_chembl35_full,P17931,Unclassified protein,38,1.41,1.987,-0.168,-0.112,-0.057,0.471,-0.026
deepdta,sequence_chembl35_full,P21728,Family A G protein-coupled receptor,37,0.91,0.829,-0.195,-0.229,-0.156,0.422,0.013
deepdta,sequence_chembl35_full,P22303,Hydrolase,109,2.259,5.102,0.449,0.466,0.32,0.66,0.196
deepdta,sequence_chembl35_full,P23458,Kinase,99,2.972,8.835,-0.01,-0.028,-0.018,0.491,0.0
deepdta,sequence_chembl35_full,P24941,Kinase,50,1.306,1.705,0.521,0.5,0.332,0.666,0.239
deepdta,sequence_chembl35_full,P27338,Oxidoreductase,124,1.375,1.891,-0.073,-0.086,-0.059,0.47,0.002
deepdta,sequence_chembl35_full,P28223,Family A G protein-coupled receptor,54,0.954,0.91,0.593,0.462,0.329,0.665,0.348
deepdta,sequence_chembl35_full,P28335,Family A G protein-coupled receptor,22,1.59,2.527,0.319,0.299,0.196,0.598,0.049
deepdta,sequence_chembl35_full,P28907,Hydrolase|Transferase,37,2.758,7.605,-0.438,-0.174,-0.125,0.437,-0.063
deepdta,sequence_chembl35_full,P29274,Family A G protein-coupled receptor,46,1.408,1.983,0.055,0.079,0.048,0.524,0.001
deepdta,sequence_chembl35_full,P29597,Kinase,51,0.922,0.85,0.386,0.315,0.225,0.613,0.113
deepdta,sequence_chembl35_full,P31153,Transferase,50,0.821,0.674,0.49,0.562,0.376,0.688,0.031
deepdta,sequence_chembl35_full,P34913,Hydrolase,70,2.428,5.897,0.316,0.328,0.213,0.607,0.055
deepdta,sequence_chembl35_full,P34972,Family A G protein-coupled receptor,30,1.257,1.581,0.035,-0.009,-0.012,0.494,0.0
deepdta,sequence_chembl35_full,P35372,Family A G protein-coupled receptor,35,2.197,4.829,0.205,0.179,0.182,0.591,0.028
deepdta,sequence_chembl35_full,P35408,Family A G protein-coupled receptor,54,2.131,4.539,-0.355,-0.264,-0.193,0.401,0.038
deepdta,sequence_chembl35_full,P35462,Family A G protein-coupled receptor,79,1.473,2.171,-0.078,-0.201,-0.145,0.427,0.003
deepdta,sequence_chembl35_full,P36544,Ion channel,33,0.89,0.792,-0.109,-0.076,-0.053,0.473,0.002
deepdta,sequence_chembl35_full,P37231,Transcription factor,16,1.695,2.873,-0.477,-0.527,-0.37,0.314,-0.062
deepdta,sequence_chembl35_full,P41143,Family A G protein-coupled receptor,41,1.132,1.281,0.101,-0.086,-0.076,0.462,0.005
deepdta,sequence_chembl35_full,P41145,Family A G protein-coupled receptor,34,1.715,2.942,0.078,0.131,0.091,0.545,0.005
deepdta,sequence_chembl35_full,P42330,Oxidoreductase,99,1.674,2.802,-0.181,-0.181,-0.131,0.434,-0.015
deepdta,sequence_chembl35_full,P42336,Transferase,111,1.374,1.888,0.451,0.511,0.34,0.67,0.172
deepdta,sequence_chembl35_full,P42345,Kinase,55,1.14,1.3,0.328,0.332,0.217,0.609,0.063
deepdta,sequence_chembl35_full,P42866,Family A G protein-coupled receptor,32,1.013,1.027,-0.212,-0.039,-0.012,0.494,-0.007
deepdta,sequence_chembl35_full,P43166,Lyase,119,1.624,2.637,-0.034,-0.102,-0.081,0.459,0.0
deepdta,sequence_chembl35_full,P43490,Unclassified protein,38,2.538,6.442,0.211,0.018,0.026,0.513,0.027
deepdta,sequence_chembl35_full,P45983,Kinase,68,2.228,4.963,-0.003,0.176,0.133,0.568,0.0
deepdta,sequence_chembl35_full,P49759,Kinase,97,1.035,1.07,-0.048,-0.031,-0.018,0.491,0.001
deepdta,sequence_chembl35_full,P49841,Kinase,113,2.316,5.363,-0.104,-0.134,-0.077,0.461,0.006
deepdta,sequence_chembl35_full,P50406,Family A G protein-coupled receptor,77,1.004,1.009,0.082,0.089,0.065,0.533,0.002
deepdta,sequence_chembl35_full,P51449,Transcription factor,59,0.796,0.634,0.112,0.181,0.114,0.557,0.009
deepdta,sequence_chembl35_full,P52333,Kinase,70,2.345,5.499,-0.041,-0.174,-0.104,0.448,-0.0
deepdta,sequence_chembl35_full,P53350,Kinase,96,1.545,2.388,-0.308,-0.086,-0.065,0.468,0.031
deepdta,sequence_chembl35_full,P53779,Kinase,159,1.177,1.384,0.327,0.324,0.203,0.602,0.083
deepdta,sequence_chembl35_full,Q00987,Other nuclear protein,94,1.205,1.452,0.785,0.742,0.539,0.77,0.427
deepdta,sequence_chembl35_full,Q02127,Oxidoreductase,31,0.723,0.522,0.607,0.448,0.337,0.668,0.367
deepdta,sequence_chembl35_full,Q03111,Epigenetic regulator,48,1.177,1.385,0.235,0.098,0.058,0.529,0.029
deepdta,sequence_chembl35_full,Q03181,Transcription factor,19,1.774,3.149,-0.258,-0.068,-0.064,0.468,0.015
deepdta,sequence_chembl35_full,Q06124,Phosphatase,42,1.216,1.479,0.584,0.54,0.427,0.714,0.323
deepdta,sequence_chembl35_full,Q06187,Kinase,69,0.684,0.468,0.764,0.745,0.545,0.773,0.546
